PROCEDIMENTO;RN (alteração);VIGÊNCIA;OD;AMB;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPÍTULO
ACONSELHAMENTO GENÉTICO;;;;AMB;HCO;HSO;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO);;;;;HCO;HSO;REF;;109;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI);;;;;HCO;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA;;;;;HCO;HSO;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATENDIMENTO PEDIÁTRICO A GESTANTES (3o TRIMESTRE);;;;AMB;HCO;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR;;;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM SAÚDE BUCAL;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADES ESPECIAIS;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO);;;OD;;;;;;86;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR;;;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO);;;;AMB;HCO;;REF;;135;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA;541/2022;01/08/2022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA MÉDICA;;;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA INICIAL;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA DE URGÊNCIA;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM PSICÓLOGO;541/2022;01/08/2022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
PROCEDIMENTO;RN (alteração);VIGÊNCIA;OD;AMB;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPÍTULO
SESSÃO COM PSICÓLOGO;541/2022;01/08/2022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO;541/2022;01/08/2022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
SESSÃO COM FONOAUDIÓLOGO;541/2022;01/08/2022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO);;;;AMB;;;REF;;103;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL;541/2022;01/08/2022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
SESSÃO COM TERAPEUTA OCUPACIONAL;541/2022;01/08/2022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE;;;;;HCO;HSO;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
VISITA HOSPITALAR;;;;;HCO;HSO;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA;;;;;HCO;HSO;REF;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA;;;;;HCO;HSO;REF;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE HEPÁTICO;546/2022;03/10/2022;;;HCO;HSO;REF;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL;;;;;HCO;HSO;REF;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DO DOADOR;546/2022;03/10/2022;;;HCO;HSO;REF;PAC;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DO DOADOR;;;;;HCO;HSO;REF;PAC;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL;;;;;HCO;HSO;REF;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS);;;;AMB;HCO;HSO;REF;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA;;;;AMB;HCO;HSO;REF;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA);;;OD;;;;;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
FORNECIMENTO DE EQUIPAMENTOS COLETORES  E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO - PROUT);;;;AMB;HCO;HSO;REF;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PROCEDIMENTO;RN (alteração);VIGÊNCIA;OD;AMB;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPÍTULO
PROFILAXIA: POLIMENTO CORONÁRIO;;;OD;;;;;;;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO);;;;AMB;HCO;HSO;REF;PAC;64;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO);536/2022;06/05/2022;;AMB;HCO;HSO;REF;;152;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO);;;;AMB;;;REF;PAC;54;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CARDIOTOCOGRAFIA;;;;AMB;HCO;HSO;REF;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL;;;;AMB;;;REF;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO;;;;AMB;;;REF;;56;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃO RESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO;581/2023;12/072023;;AMB;;;REF;;162;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA;;;;;HCO;HSO;REF;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA;;;;;HCO;HSO;REF;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA;;;;;HCO;HSO;REF;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO);;;;;HCO;HSO;REF;;;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO;;;;AMB;HCO;HSO;REF;PAC;67;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS;;;;AMB;;;REF;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO);;;;AMB;HCO;HSO;REF;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
BIOFEEDBACK COM EMG;;;;AMB;HCO;HSO;REF;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
EXERCÍCIOS DE ORTÓPTICA;;;;AMB;;;REF;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO;;;;AMB;HCO;HSO;REF;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS;;;;AMB;HCO;HSO;REF;;;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
